name,year,manufacturer,model,trim,mileage,color,price
2013 Acura ILX,2013,Acura,ILX,2.0L,71460,Silver,18990
2013 Acura ILX,2013,Acura,ILX,2.0L,49713,White,19590
2013 Acura ILX,2013,Acura,ILX,2.0L,81768,Silver,17990
2013 Acura ILX,2013,Acura,ILX,2.0L,98986,White,16590
2013 Acura ILX,2013,Acura,ILX,2.0L,23590,Silver,21590
2013 Acura ILX,2013,Acura,ILX,2.0L,99314,Blue,16990
2013 Acura ILX,2013,Acura,ILX,2.0L,55633,White,19590
2014 Acura ILX,2014,Acura,ILX,2.0L,103589,Gray,16990
2014 Acura ILX,2014,Acura,ILX,2.0L,82906,Gray,17590
2014 Acura ILX,2014,Acura,ILX,2.0L,92848,Gray,17990
2014 Acura ILX,2014,Acura,ILX,2.0L,79820,Brown,17990
2019 Acura ILX,2019,Acura,ILX,Technology & A-SPEC Pkgs,13580,Black,30990
2015 Acura ILX,2015,Acura,ILX,base,96189,White,17990
2015 Acura ILX,2015,Acura,ILX,base,63611,White,20590
2015 Acura ILX,2015,Acura,ILX,base,65039,White,19990
2015 Acura ILX,2015,Acura,ILX,base,89786,Black,17990
2016 Acura ILX,2016,Acura,ILX,base,70774,White,20990
2016 Acura ILX,2016,Acura,ILX,base,42231,Silver,23590
2016 Acura ILX,2016,Acura,ILX,base,56078,White,22590
2016 Acura ILX,2016,Acura,ILX,base,97127,Black,18990
2016 Acura ILX,2016,Acura,ILX,base,13749,Red,24990
2016 Acura ILX,2016,Acura,ILX,base,75347,Silver,20990
2016 Acura ILX,2016,Acura,ILX,base,84288,White,20590
2017 Acura ILX,2017,Acura,ILX,base,59327,Gray,22990
2017 Acura ILX,2017,Acura,ILX,base,31462,Gray,25990
2022 Acura MDX,2022,Acura,MDX,Base w/Technology Pkg,21423,Red,54990
2014 Acura MDX,2014,Acura,MDX,SH-AWD,36360,Gray,29990
2014 Acura MDX,2014,Acura,MDX,SH-AWD,92796,Gray,24590
2014 Acura MDX,2014,Acura,MDX,SH-AWD,86878,White,24990
2015 Acura MDX,2015,Acura,MDX,SH-AWD,26086,Black,33590
2015 Acura MDX,2015,Acura,MDX,SH-AWD,86553,Black,25990
2018 Acura MDX,2018,Acura,MDX,Technology Pkg,52838,White,35590
2020 Acura MDX,2020,Acura,MDX,Technology Pkg,27718,Black,44990
2010 Acura MDX,2010,Acura,MDX,base,76151,Silver,19590
2010 Acura MDX,2010,Acura,MDX,base,76440,Gray,19990
2011 Acura MDX,2011,Acura,MDX,base,91408,Gray,18990
2011 Acura MDX,2011,Acura,MDX,base,86986,Gray,19590
2011 Acura MDX,2011,Acura,MDX,base,96195,Black,18590
2012 Acura MDX,2012,Acura,MDX,base,67437,White,22590
2012 Acura MDX,2012,Acura,MDX,base,57088,Blue,23990
2012 Acura MDX,2012,Acura,MDX,base,82054,Gray,21990
2012 Acura MDX,2012,Acura,MDX,base,84061,Black,20990
2012 Acura MDX,2012,Acura,MDX,base,76062,White,22990
2012 Acura MDX,2012,Acura,MDX,base,69868,Gray,21990
2012 Acura MDX,2012,Acura,MDX,base,65336,Gray,23590
2012 Acura MDX,2012,Acura,MDX,base,87079,Gray,19990
2012 Acura MDX,2012,Acura,MDX,base,103918,Silver,18590
2013 Acura MDX,2013,Acura,MDX,base,97587,Black,22590
2013 Acura MDX,2013,Acura,MDX,base,98061,Silver,18990
2013 Acura MDX,2013,Acura,MDX,base,91220,Silver,19990
2014 Acura MDX,2014,Acura,MDX,base,100831,Gray,23590
2012 Acura RDX,2012,Acura,RDX,SH-AWD,76297,Silver,18990
2012 Acura RDX,2012,Acura,RDX,SH-AWD,92873,Silver,17590
2020 Acura RDX,2020,Acura,RDX,SH-AWD,24378,White,39990
2011 Acura RDX,2011,Acura,RDX,base,51225,Black,19990
2011 Acura RDX,2011,Acura,RDX,base,84541,Gray,16990
2011 Acura RDX,2011,Acura,RDX,base,88635,Silver,16590
2012 Acura RDX,2012,Acura,RDX,base,86569,White,17990
2012 Acura RDX,2012,Acura,RDX,base,64939,Silver,19590
2013 Acura RDX,2013,Acura,RDX,base,92198,Gray,17990
2013 Acura RDX,2013,Acura,RDX,base,99076,White,17990
2013 Acura RDX,2013,Acura,RDX,base,87831,Brown,18990
2013 Acura RDX,2013,Acura,RDX,base,92791,Gray,18590
2013 Acura RDX,2013,Acura,RDX,base,62741,Brown,21990
2013 Acura RDX,2013,Acura,RDX,base,87192,White,18990
2013 Acura RDX,2013,Acura,RDX,base,89560,Black,18990
2013 Acura RDX,2013,Acura,RDX,base,97924,Brown,19590
2014 Acura RDX,2014,Acura,RDX,base,56666,Black,22990
2014 Acura RDX,2014,Acura,RDX,base,95677,White,19590
2014 Acura RDX,2014,Acura,RDX,base,63970,Black,22990
2014 Acura RDX,2014,Acura,RDX,base,96486,Silver,17990
2014 Acura RDX,2014,Acura,RDX,base,50987,Other,22590
2014 Acura RDX,2014,Acura,RDX,base,75862,Black,21990
2014 Acura RDX,2014,Acura,RDX,base,69685,Silver,21990
2014 Acura RDX,2014,Acura,RDX,base,42376,Silver,24990
2015 Acura RDX,2015,Acura,RDX,base,77318,Gray,21590
2015 Acura RDX,2015,Acura,RDX,base,65269,Silver,22590
2015 Acura RDX,2015,Acura,RDX,base,88142,Silver,20590
2015 Acura RDX,2015,Acura,RDX,base,93881,Gray,19990
2015 Acura RDX,2015,Acura,RDX,base,55780,Black,23590
2015 Acura RDX,2015,Acura,RDX,base,69071,Black,22990
2015 Acura RDX,2015,Acura,RDX,base,96849,White,20590
2015 Acura RDX,2015,Acura,RDX,base,89535,White,21590
2016 Acura RDX,2016,Acura,RDX,base,33426,White,27990
2017 Acura RDX,2017,Acura,RDX,base,79923,Gray,24590
2017 Acura RLX,2017,Acura,RLX,Technology Pkg,102163,Black,21990
2014 Acura RLX,2014,Acura,RLX,base,62603,Gray,24590
2014 Acura RLX,2014,Acura,RLX,base,100436,Gray,20590
2014 Acura RLX,2014,Acura,RLX,base,75779,Gray,22590
2014 Acura RLX,2014,Acura,RLX,base,60684,Gray,23990
2014 Acura RLX,2014,Acura,RLX,base,97579,Silver,19590
2014 Acura RLX,2014,Acura,RLX,base,94964,Gray,20990
2014 Acura RLX,2014,Acura,RLX,base,55454,Other,24990
2014 Acura RLX,2014,Acura,RLX,base,69872,Other,23590
2014 Acura RLX,2014,Acura,RLX,base,24063,Silver,27990
2014 Acura RLX,2014,Acura,RLX,base,89801,Gray,20590
2014 Acura RLX,2014,Acura,RLX,base,85079,Black,22590
2014 Acura RLX,2014,Acura,RLX,base,64424,White,23990
2018 Acura RLX,2018,Acura,RLX,base,70659,Black,30990
2018 Acura RLX,2018,Acura,RLX,base,51732,White,33990
2012 Acura TL,2012,Acura,TL,SH-AWD,94470,White,18590
2012 Acura TL,2012,Acura,TL,SH-AWD,58543,Other,21990
2012 Acura TL,2012,Acura,TL,SH-AWD,75023,Black,20590
2012 Acura TL,2012,Acura,TL,SH-AWD,62254,Silver,22990
2012 Acura TL,2012,Acura,TL,SH-AWD,97748,Red,18990
2014 Acura TL,2014,Acura,TL,SH-AWD,75867,White,22590
2014 Acura TL,2014,Acura,TL,SH-AWD,71215,Black,21990
2009 Acura TL,2009,Acura,TL,base,103375,Gray,14990
2009 Acura TL,2009,Acura,TL,base,101030,Gray,14990
2010 Acura TL,2010,Acura,TL,base,48726,Silver,18590
2010 Acura TL,2010,Acura,TL,base,87358,Blue,16590
2010 Acura TL,2010,Acura,TL,base,71573,White,16990
2010 Acura TL,2010,Acura,TL,base,99587,Black,16590
2010 Acura TL,2010,Acura,TL,base,97787,White,16590
2010 Acura TL,2010,Acura,TL,base,80810,Brown,16590
2012 Acura TL,2012,Acura,TL,base,58507,White,20590
2012 Acura TL,2012,Acura,TL,base,103206,Gray,17990
2012 Acura TL,2012,Acura,TL,base,77984,Red,17990
2012 Acura TL,2012,Acura,TL,base,98595,Gray,16590
2012 Acura TL,2012,Acura,TL,base,62331,White,18990
2012 Acura TL,2012,Acura,TL,base,62549,Silver,18590
2012 Acura TL,2012,Acura,TL,base,56321,Black,19990
2012 Acura TL,2012,Acura,TL,base,65421,Silver,17990
2012 Acura TL,2012,Acura,TL,base,78012,Black,18590
2012 Acura TL,2012,Acura,TL,base,68221,Silver,18590
2012 Acura TL,2012,Acura,TL,base,75533,White,18990
2012 Acura TL,2012,Acura,TL,base,67522,Gray,17990
2012 Acura TL,2012,Acura,TL,base,48415,Black,20590
2013 Acura TL,2013,Acura,TL,base,67611,Blue,18590
2014 Acura TL,2014,Acura,TL,base,70899,Gray,20590
2015 Acura TLX,2015,Acura,TLX,2.4,52440,Gray,22590
2015 Acura TLX,2015,Acura,TLX,2.4,80185,Brown,20990
2015 Acura TLX,2015,Acura,TLX,2.4,49947,Brown,24590
2015 Acura TLX,2015,Acura,TLX,2.4,98234,Black,19990
2015 Acura TLX,2015,Acura,TLX,2.4,72634,White,21990
2015 Acura TLX,2015,Acura,TLX,2.4,54678,White,22990
2015 Acura TLX,2015,Acura,TLX,2.4,31407,Gray,26590
2015 Acura TLX,2015,Acura,TLX,2.4,69859,Gray,21590
2015 Acura TLX,2015,Acura,TLX,2.4,56622,Black,23590
2015 Acura TLX,2015,Acura,TLX,2.4,94721,Silver,21990
2015 Acura TLX,2015,Acura,TLX,2.4,62563,Black,23590
2016 Acura TLX,2016,Acura,TLX,2.4,84102,White,21590
2016 Acura TLX,2016,Acura,TLX,2.4,75584,White,23590
2016 Acura TLX,2016,Acura,TLX,2.4,40569,Red,24590
2016 Acura TLX,2016,Acura,TLX,2.4,73669,White,22590
2016 Acura TLX,2016,Acura,TLX,2.4,57093,Gray,23990
2020 Acura TLX,2020,Acura,TLX,2.4 w/Technology Pkg & A-SPEC Pkg,13565,White,37990
2015 Acura TLX,2015,Acura,TLX,3.5,81621,Gray,21990
2015 Acura TLX,2015,Acura,TLX,3.5,54432,Other,24590
2015 Acura TLX,2015,Acura,TLX,3.5,73818,Blue,22990
2015 Acura TLX,2015,Acura,TLX,3.5,54636,Silver,24590
2015 Acura TLX,2015,Acura,TLX,3.5,36775,White,25990
2015 Acura TLX,2015,Acura,TLX,3.5,105087,White,21590
2015 Acura TLX,2015,Acura,TLX,3.5,75663,Black,22990
2015 Acura TLX,2015,Acura,TLX,3.5,101471,Gray,21990
2015 Acura TLX,2015,Acura,TLX,3.5,61217,Gray,23990
2015 Acura TLX,2015,Acura,TLX,3.5,69388,Silver,22590
2015 Acura TLX,2015,Acura,TLX,3.5,102957,Silver,19590
2015 Acura TLX,2015,Acura,TLX,3.5,68656,Other,22590
2015 Acura TLX,2015,Acura,TLX,3.5,105764,White,19990
2015 Acura TLX,2015,Acura,TLX,3.5,63708,Black,24990
2015 Acura TLX,2015,Acura,TLX,3.5,57373,Black,23990
2016 Acura TLX,2016,Acura,TLX,3.5,84446,White,22990
2016 Acura TLX,2016,Acura,TLX,3.5,51771,Gray,24590
2016 Acura TLX,2016,Acura,TLX,3.5,34293,White,27990
2017 Acura TLX,2017,Acura,TLX,3.5,45034,Silver,26590
2017 Acura TLX,2017,Acura,TLX,3.5 w/Technology Pkg,69916,White,24990
2020 Acura TLX,2020,Acura,TLX,3.5 w/Technology Pkg,10174,Silver,37990
2009 Acura TSX,2009,Acura,TSX,base,97721,White,14990
2009 Acura TSX,2009,Acura,TSX,base,72993,Gray,15990
2009 Acura TSX,2009,Acura,TSX,base,87523,Gray,14990
2010 Acura TSX,2010,Acura,TSX,base,77015,Gray,17590
2011 Acura TSX,2011,Acura,TSX,base,71995,Silver,16990
2012 Acura TSX,2012,Acura,TSX,base,50544,Black,19590
