@context,@type,itemCondition,name,modelDate,manufacturer,model,color,image,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,offers,trim
http://schema.org,Vehicle,Used,2016 Acura ILX,2016,Acura,ILX,White,//cdnblob.fastly.carvana.io/2001879052/post-large/normalized/zoomcrop/2001879052-edc-02.jpg,Acura,Used 2016 Acura ILX undefined with 70774 miles - $20990,70774,2001879052,19UDE2F38GA018851,"{'@type': 'Offer', 'price': '20990', 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2422176'}",base
http://schema.org,Vehicle,Used,2013 Acura ILX,2013,Acura,ILX,Silver,//cdnblob.fastly.carvana.io/2001896115/post-large/normalized/zoomcrop/2001896115-edc-02.jpg,Acura,Used 2013 Acura ILX undefined with 71460 miles - $18990,71460,2001896115,19VDE1F71DE012340,"{'@type': 'Offer', 'price': '18990', 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2438517'}",2.0L
http://schema.org,Vehicle,Used,2017 Acura ILX,2017,Acura,ILX,Gray,//cdnblob.fastly.carvana.io/2001806803/post-large/normalized/zoomcrop/2001806803-edc-02.jpg,Acura,Used 2017 Acura ILX undefined with 59327 miles - $22990,59327,2001806803,19UDE2F73HA004148,"{'@type': 'Offer', 'price': '22990', 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2377065'}",base
http://schema.org,Vehicle,Used,2016 Acura ILX,2016,Acura,ILX,Silver,//cdnblob.fastly.carvana.io/2001794936/post-large/normalized/zoomcrop/2001794936-edc-02.jpg,Acura,Used 2016 Acura ILX undefined with 42231 miles - $23590,42231,2001794936,19UDE2F86GA004927,"{'@type': 'Offer', 'price': '23590', 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2373221'}",base
http://schema.org,Vehicle,Used,2015 Acura ILX,2015,Acura,ILX,White,//cdnblob.fastly.carvana.io/2001632816/post-large/normalized/zoomcrop/2001632816-edc-02.jpg,Acura,Used 2015 Acura ILX undefined with 96189 miles - $17990,96189,2001632816,19VDE1F3XFE008674,"{'@type': 'Offer', 'price': '17990', 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2288231'}",base
http://schema.org,Vehicle,Used,2013 Acura ILX,2013,Acura,ILX,White,//cdnblob.fastly.carvana.io/2001811368/post-large/normalized/zoomcrop/2001811368-edc-02.jpg,Acura,Used 2013 Acura ILX undefined with 49713 miles - $19590,49713,2001811368,19VDE1F30DE018319,"{'@type': 'Offer', 'price': '19590', 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2388383'}",2.0L
http://schema.org,Vehicle,Used,2016 Acura ILX,2016,Acura,ILX,White,//cdnblob.fastly.carvana.io/2001928230/post-large/normalized/zoomcrop/2001928230-edc-02.jpg,Acura,Used 2016 Acura ILX undefined with 56078 miles - $22590,56078,2001928230,19UDE2F34GA023125,"{'@type': 'Offer', 'price': '22590', 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2465723'}",base
http://schema.org,Vehicle,Used,2013 Acura ILX,2013,Acura,ILX,Silver,//cdnblob.fastly.carvana.io/2001927648/post-large/normalized/zoomcrop/2001927648-edc-02.jpg,Acura,Used 2013 Acura ILX undefined with 81768 miles - $17990,81768,2001927648,19VDE1F58DE009384,"{'@type': 'Offer', 'price': '17990', 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2463102'}",2.0L
http://schema.org,Vehicle,Used,2019 Acura ILX,2019,Acura,ILX,Black,//cdnblob.fastly.carvana.io/2001894166/post-large/normalized/zoomcrop/2001894166-edc-02.jpg,Acura,Used 2019 Acura ILX undefined with 13580 miles - $30990,13580,2001894166,19UDE2F89KA004459,"{'@type': 'Offer', 'price': '30990', 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2439335'}",Technology & A-SPEC Pkgs
http://schema.org,Vehicle,Used,2014 Acura ILX,2014,Acura,ILX,Gray,//cdnblob.fastly.carvana.io/2001777264/post-large/normalized/zoomcrop/2001777264-edc-02.jpg,Acura,Used 2014 Acura ILX undefined with 103589 miles - $16990,103589,2001777264,19VDE1F72EE011392,"{'@type': 'Offer', 'price': '16990', 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2368652'}",2.0L
